date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:16	260730/260730	---MCZ	200	added ('OK')	text/html	etag:cacheable:79146f199d0b7867fa4f2adc1242cbc9	https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks.html	(from )
11:52:16	447/447	---MCZ	200	added ('OK')	text/plain	etag:cacheable:4aaa5144f155e610bbb660e16ba1a1cf	https://www.thespoiledmama.com/robots.txt		(from )
11:52:17	958/958	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2018:52:16%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-57x57.png?v=4554355618662666087	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-57x57a56b.png	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
11:52:18	1012/1012	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2018:52:17%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-60x60.png?v=17475315395867647316	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-60x60a191.png	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
11:52:18	114071/114071	---M-Z	200	added ('OK')	application/javascript	etag:%220dbc7f08f3bd61:0%22	https://edge.personalizer.io/storefront/2.0.0/js/shopify/storefront.min.js?key=hnoaf-pdw1se3rbz9cq8bm2jzu-cw8j8&shop=the-spoiled-mama-inc.myshopify.com	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/edge.personalizer.io/storefront/2.0.0/js/shopify/storefront.min4440.js	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
11:52:18	1210/1210	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2018:52:17%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-72x72.png?v=15812856661474005353	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-72x72b136.png	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
11:52:19	1218/1218	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2018:52:18%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-76x76.png?v=2441313838191032904	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-76x76d19d.png	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
11:52:19	1839/1839	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2018:52:18%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-114x114.png?v=6562722899417553598	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-114x114648e.png	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
11:52:19	1963/1963	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2018:52:18%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-120x120.png?v=7733128564284978884	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-120x120f40e.png	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
11:52:20	2368/2368	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2018:52:19%20GMT	http://cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-144x144.png?v=2910078212363523365	C:/Users/Alom/Desktop/web%20project/vn-writing-tummy-butter/cdn.shopify.com/s/files/1/1116/9832/t/47/assets/apple-touch-icon-144x14435fd.png	(from https://www.thespoiledmama.com/products/tummy-butter-for-pregnancy-stretch-marks)
